"행정구역","2022년10월_계_총인구수","2022년10월_계_연령구간인구수","2022년10월_계_0~4세","2022년10월_계_5~9세","2022년10월_계_10~14세","2022년10월_계_15~19세","2022년10월_계_20~24세","2022년10월_계_25~29세","2022년10월_계_30~34세","2022년10월_계_35~39세","2022년10월_계_40~44세","2022년10월_계_45~49세","2022년10월_계_50~54세","2022년10월_계_55~59세","2022년10월_계_60~64세","2022년10월_계_65~69세","2022년10월_계_70~74세","2022년10월_계_75~79세","2022년10월_계_80~84세","2022년10월_계_85~89세","2022년10월_계_90~94세","2022년10월_계_95~99세","2022년10월_계_100세 이상","2022년10월_남_총인구수","2022년10월_남_연령구간인구수","2022년10월_남_0~4세","2022년10월_남_5~9세","2022년10월_남_10~14세","2022년10월_남_15~19세","2022년10월_남_20~24세","2022년10월_남_25~29세","2022년10월_남_30~34세","2022년10월_남_35~39세","2022년10월_남_40~44세","2022년10월_남_45~49세","2022년10월_남_50~54세","2022년10월_남_55~59세","2022년10월_남_60~64세","2022년10월_남_65~69세","2022년10월_남_70~74세","2022년10월_남_75~79세","2022년10월_남_80~84세","2022년10월_남_85~89세","2022년10월_남_90~94세","2022년10월_남_95~99세","2022년10월_남_100세 이상","2022년10월_여_총인구수","2022년10월_여_연령구간인구수","2022년10월_여_0~4세","2022년10월_여_5~9세","2022년10월_여_10~14세","2022년10월_여_15~19세","2022년10월_여_20~24세","2022년10월_여_25~29세","2022년10월_여_30~34세","2022년10월_여_35~39세","2022년10월_여_40~44세","2022년10월_여_45~49세","2022년10월_여_50~54세","2022년10월_여_55~59세","2022년10월_여_60~64세","2022년10월_여_65~69세","2022년10월_여_70~74세","2022년10월_여_75~79세","2022년10월_여_80~84세","2022년10월_여_85~89세","2022년10월_여_90~94세","2022년10월_여_95~99세","2022년10월_여_100세 이상"
"경상남도 거제시 (4831000000)","237,090","237,090","7,291","14,536","15,333","12,775","11,395","9,895","11,374","18,350","24,184","22,584","22,907","17,905","17,678","12,316","7,584","4,571","3,531","1,981","756","122","22","123,987","123,987","3,804","7,477","7,943","6,743","6,612","5,543","5,917","9,455","13,086","11,999","12,609","9,660","8,950","6,373","3,836","2,061","1,250","517","130","18","4","113,103","113,103","3,487","7,059","7,390","6,032","4,783","4,352","5,457","8,895","11,098","10,585","10,298","8,245","8,728","5,943","3,748","2,510","2,281","1,464","626","104","18"
"경상남도 양산시 (4833000000)","353,410","353,410","12,009","18,709","18,786","16,475","17,625","19,533","20,895","24,466","31,931","29,783","31,975","28,080","28,181","20,358","13,757","9,242","7,007","3,318","1,045","209","26","177,096","177,096","6,149","9,552","9,632","8,422","9,629","10,446","10,843","12,526","16,302","15,111","15,883","14,269","14,050","9,824","6,474","4,023","2,650","1,047","223","38","3","176,314","176,314","5,860","9,157","9,154","8,053","7,996","9,087","10,052","11,940","15,629","14,672","16,092","13,811","14,131","10,534","7,283","5,219","4,357","2,271","822","171","23"
"경상남도 양산시웅상출장소 (4833200000)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"경상남도 의령군 (4872000000)","26,100","26,100","401","541","698","724","807","815","771","822","1,135","1,494","2,044","2,319","3,252","2,734","2,147","1,703","1,920","1,228","454","78","13","12,907","12,907","202","296","363","387","461","490","417","434","608","889","1,161","1,282","1,744","1,458","1,038","667","602","301","93","11","3","13,193","13,193","199","245","335","337","346","325","354","388","527","605","883","1,037","1,508","1,276","1,109","1,036","1,318","927","361","67","10"
"경상남도 함안군 (4873000000)","61,613","61,613","1,127","2,109","2,923","2,789","2,442","2,250","2,047","2,661","3,947","4,593","5,464","5,450","6,529","5,503","3,861","2,849","2,787","1,593","592","90","7","31,451","31,451","580","1,078","1,487","1,527","1,437","1,361","1,136","1,318","2,065","2,492","3,078","2,962","3,519","2,867","1,907","1,176","913","421","108","17","2","30,162","30,162","547","1,031","1,436","1,262","1,005","889","911","1,343","1,882","2,101","2,386","2,488","3,010","2,636","1,954","1,673","1,874","1,172","484","73","5"
"경상남도 창녕군 (4874000000)","58,633","58,633","1,020","1,583","1,876","2,035","1,993","1,959","2,003","2,310","3,158","3,399","4,725","5,482","7,056","5,940","4,530","3,493","3,451","1,848","673","83","16","29,300","29,300","519","822","976","1,106","1,175","1,154","1,158","1,253","1,707","1,940","2,654","2,879","3,612","2,970","2,168","1,455","1,117","499","126","9","1","29,333","29,333","501","761","900","929","818","805","845","1,057","1,451","1,459","2,071","2,603","3,444","2,970","2,362","2,038","2,334","1,349","547","74","15"
"경상남도 고성군 (4882000000)","49,913","49,913","669","1,355","1,926","2,085","1,835","1,596","1,354","1,819","2,808","3,075","4,307","4,438","5,729","4,755","3,888","2,979","2,817","1,707","632","127","12","25,074","25,074","335","672","1,043","1,157","1,088","929","779","970","1,555","1,655","2,406","2,450","2,903","2,391","1,896","1,273","953","487","112","19","1","24,839","24,839","334","683","883","928","747","667","575","849","1,253","1,420","1,901","1,988","2,826","2,364","1,992","1,706","1,864","1,220","520","108","11"
"경상남도 남해군 (4884000000)","41,727","41,727","531","907","1,300","1,413","1,582","1,268","1,032","1,217","1,800","2,378","3,306","3,537","4,748","4,094","3,647","2,907","3,094","1,976","795","180","15","20,260","20,260","267","476","744","743","1,008","771","569","618","919","1,272","1,844","1,900","2,400","2,017","1,712","1,255","1,060","500","163","22","0","21,467","21,467","264","431","556","670","574","497","463","599","881","1,106","1,462","1,637","2,348","2,077","1,935","1,652","2,034","1,476","632","158","15"
"경상남도 하동군 (4885000000)","42,630","42,630","621","862","1,259","1,300","1,477","1,273","1,130","1,236","1,802","2,511","3,736","4,038","5,272","4,367","3,458","2,802","2,853","1,775","686","159","13","21,325","21,325","324","440","670","720","881","755","624","671","983","1,416","2,107","2,165","2,821","2,258","1,688","1,188","948","492","145","26","3","21,305","21,305","297","422","589","580","596","518","506","565","819","1,095","1,629","1,873","2,451","2,109","1,770","1,614","1,905","1,283","541","133","10"
"경상남도 산청군 (4886000000)","34,062","34,062","456","667","907","1,045","1,128","976","883","970","1,381","1,798","2,825","3,273","4,297","3,704","2,850","2,320","2,485","1,453","511","120","13","16,867","16,867","231","355","524","543","644","555","501","520","751","975","1,540","1,832","2,251","1,929","1,463","935","838","362","100","16","2","17,195","17,195","225","312","383","502","484","421","382","450","630","823","1,285","1,441","2,046","1,775","1,387","1,385","1,647","1,091","411","104","11"
